"","revenue","budget","primary_genre"
"1069",157920733,6e+07,"Adventure"
"1070",356830601,1.5e+07,"Action"
"1073",8e+06,1800000,"Drama"
"1081",1227324,12500000,"Crime"
"1087",20300385,3.6e+07,"Drama"
"1091",41833347,5e+06,"Mystery"
"1092",13878334,6788000,"Comedy"
"1093",90000098,7e+07,"Adventure"
"1094",21378361,1e+06,"Horror"
"1095",50244700,6e+06,"Science Fiction"
"1096",17985893,1e+06,"Drama"
"1101",5028948,4e+05,"Adventure"
"1129",1100000,7e+06,"Horror"
"1136",1794187,4e+06,"Comedy"
"1143",231976425,2.7e+07,"Drama"
"1145",14743391,645180,"Drama"
"1148",33946224,3e+06,"Comedy"
"1151",29,4,"Documentary"
"1152",3779620,5e+05,"Documentary"
"1153",108981275,3e+06,"Drama"
"1155",538400000,1.8e+07,"Adventure"
"1156",30857814,1.6e+07,"Adventure"
"1157",389925971,1.8e+07,"Adventure"
"1159",183316455,18500000,"Horror"
"1160",6e+06,1200000,"Western"
"1162",1e+06,350000,"Drama"
"1163",69995385,1.5e+07,"Adventure"
"1164",26589000,2200000,"Science Fiction"
"1165",13129846,2e+06,"Crime"
"1166",89460381,31500000,"Drama"
"1167",5321508,5e+06,"Western"
"1168",572700000,32350000,"Adventure"
"1169",3200000,2500000,"Drama"
"1171",46836394,2.5e+07,"Drama"
"1172",104931801,1.1e+07,"Horror"
"1175",4069653,11500000,"Action"
"1177",3.2e+07,806948,"Drama"
"1178",115229890,2.7e+07,"Music"
"1179",47542841,1.3e+07,"Drama"
"1180",46357676,1.7e+07,"Drama"
"1183",51973029,1.8e+07,"Drama"
"1186",2.3e+07,1.8e+07,"Drama"
"1187",38251425,4e+06,"Comedy"
"1188",21500000,2.7e+07,"Drama"
"1190",8.5e+07,1.4e+07,"Action"
"1191",159616327,5500000,"Comedy"
"1196",78371200,6400000,"Action"
"1197",242623,3e+06,"Horror"
"1198",26828365,1.8e+07,"War"
"1201",5080409,1.4e+07,"Drama"
"1202",235860116,16400000,"Drama"
"1203",104945305,3e+06,"Drama"
"1204",2247465,829000,"Drama"
"1206",27200000,3e+06,"Drama"
"1208",3e+07,6e+06,"Crime"
"1210",4307000,3800000,"Action"
"1214",44017374,1.9e+07,"Horror"
"1215",52287414,8e+06,"Crime"
"1217",5923044,3600000,"Horror"
"1218",11744471,4e+06,"Adventure"
"1219",5e+07,1.5e+07,"Drama"
"1221",70906973,14600000,"Romance"
"1222",159157447,1.4e+07,"Western"
"1223",96105910,8e+07,"Mystery"
"1226",381109762,1.9e+07,"Adventure"
"1227",119418501,1.1e+07,"Drama"
"1228",89800000,1.2e+07,"Drama"
"1230",553171,8e+06,"Science Fiction"
"1231",5900000,1.6e+07,"Adventure"
"1232",16217773,3e+06,"Crime"
"1234",86273333,2800000,"Comedy"
"1235",2015810,3500000,"Comedy"
"1237",1.1e+07,2e+06,"Comedy"
"1238",83320000,2280000,"Animation"
"1239",8e+06,730000,"Western"
"1243",146900000,1.5e+07,"Action"
"1244",4736202,2500000,"Comedy"
"1247",474171806,4.8e+07,"Adventure"
"1249",77737889,2.2e+07,"Drama"
"1250",10006806,1.7e+07,"Comedy"
"1251",20966644,3e+06,"Drama"
"1253",22244207,1.2e+07,"Music"
"1254",34700291,14400000,"War"
"1256",3250000,1900000,"Adventure"
"1259",102308889,6e+06,"History"
"1260",2181987,1746964,"Drama"
"1262",92823546,1.6e+07,"Comedy"
"1274",159773545,5e+07,"Science Fiction"
"1275",31973249,1e+07,"Horror"
"1287",11403529,2500000,"Horror"
"1292",215862692,4e+07,"Romance"
"1295",25792310,6e+06,"Drama"
"1296",182300000,3.5e+07,"Crime"
"1298",33800000,1800000,"Horror"
"1300",25504513,1800000,"Horror"
"1303",60922980,2800000,"Horror"
"1309",1.5e+08,4.6e+07,"Science Fiction"
"1311",24444121,1e+06,"Drama"
"1312",129832389,6e+07,"Family"
"1315",48093211,4e+07,"Fantasy"
"1317",2503829,3e+06,"Comedy"
"1319",320689294,5.4e+07,"Comedy"
"1322",240031094,7e+07,"Action"
"1323",1.39e+08,3.5e+07,"Science Fiction"
"1324",96900000,2.7e+07,"Science Fiction"
"1325",70200000,3e+07,"Science Fiction"
"1326",96800000,1.2e+07,"Action"
"1327",8.7e+07,1.8e+07,"Science Fiction"
"1328",1.33e+08,2.4e+07,"Science Fiction"
"1329",2.8e+08,8e+07,"Action"
"1330",44726644,1.3e+07,"Crime"
"1332",181813770,6e+06,"Romance"
"1333",15171476,13200000,"Comedy"
"1334",46044400,1.2e+07,"Action"
"1337",156563139,3.5e+07,"Action"
"1339",470654000,7e+06,"Horror"
"1340",187884007,2e+07,"Horror"
"1341",87987055,20500000,"Thriller"
"1343",101371017,7e+07,"Comedy"
"1344",153155,3e+06,"Drama"
"1345",273552592,5e+07,"Comedy"
"1346",29180280,6e+06,"Comedy"
"1351",12803305,2.3e+07,"Drama"
"1357",173046663,1.4e+07,"Crime"
"1358",75505856,4e+07,"Action"
"1366",141047179,5.5e+07,"History"
"1375",11466088,5.5e+07,"Action"
"1380",31987563,5.5e+07,"Action"
"1384",178127760,1.16e+08,"Action"
"1388",589304,8e+06,"Drama"
"1403",50068310,5e+07,"Crime"
"1405",36400360,2.5e+07,"Comedy"
"1408",3675201,1.5e+07,"Drama"
"1409",13130349,3e+07,"Drama"
"1410",41954997,3.5e+07,"Crime"
"1418",4109095,3e+06,"Drama"
"1419",41230799,2.8e+07,"Comedy"
"1421",118063304,6.8e+07,"Thriller"
"1426",302710615,4.5e+07,"Comedy"
"1428",6e+07,2e+07,"Drama"
"1429",140807547,9e+07,"Crime"
"1430",3566637,3.2e+07,"Animation"
"1433",17979739,1e+07,"Action"
"1434",791830,3.5e+07,"Drama"
"1437",136885767,4.5e+07,"Adventure"
"1452",67683989,16500000,"Science Fiction"
"1453",50159144,3.6e+07,"Drama"
"1461",263920180,9e+07,"Adventure"
"1468",2900000,2e+06,"Drama"
"1475",229074524,7.3e+07,"Adventure"
"1483",224012234,7.5e+07,"Action"
"1487",164508066,1.6e+08,"Action"
"1488",10300,5e+05,"Crime"
"1492",238207122,1.25e+08,"Action"
"1496",252712101,8.5e+07,"Animation"
"1499",299288605,3.8e+07,"Comedy"
"1502",528428,9e+05,"Drama"
"1503",245676146,8e+07,"Action"
"1509",589390539,9e+07,"Action"
"1512",8345056,2.8e+07,"Adventure"
"1513",171120329,9e+07,"Drama"
"1515",48169156,5e+07,"Action"
"1516",79114085,2e+07,"Adventure"
"1518",44862187,1.5e+07,"Action"
"1519",26673242,6e+07,"Horror"
"1520",87840042,4e+07,"Action"
"1521",23144499,3e+06,"Comedy"
"1522",44332015,1.9e+07,"Comedy"
"1526",136982834,7.5e+07,"Action"
"1528",1686429,1.6e+07,"Science Fiction"
"1532",25480490,3e+07,"Fantasy"
"1536",315156409,8.5e+07,"Action"
"1537",5716080,2e+07,"Drama"
"1538",199200000,3e+07,"Action"
"1545",126216940,3.5e+07,"Crime"
"1546",131457682,7e+07,"Adventure"
"1547",60527873,2.7e+07,"Drama"
"1550",15719109,5e+06,"Horror"
"1552",109423648,5e+07,"Drama"
"1553",1.6e+07,6e+07,"Action"
"1554",6682098,1.9e+07,"Thriller"
"1560",8038061,1.8e+07,"Drama"
"1562",12021272,250000,"Comedy"
"1564",257850122,3500000,"Comedy"
"1567",125586134,1.7e+07,"Horror"
"1568",152944660,5.7e+07,"Drama"
"1570",4e+06,1.2e+07,"Drama"
"1571",626057,1500000,"Comedy"
"1576",12532777,3.6e+07,"Thriller"
"1584",6482195,3.7e+07,"Action"
"1586",85300000,1e+07,"Action"
"1588",251212670,1.8e+07,"Comedy"
"1590",10541523,5e+07,"Action"
"1591",2642983,2.4e+07,"Drama"
"1595",45916769,4e+07,"Drama"
"1596",43101594,1.5e+07,"Drama"
"1597",68706993,1.2e+07,"Crime"
"1599",121214377,1.05e+08,"Adventure"
"1601",32861136,1.1e+07,"Drama"
"1603",5.8e+07,6e+06,"Comedy"
"1604",51376861,3e+07,"Action"
"1605",264118201,6e+07,"Comedy"
"1610",159330280,6e+07,"Action"
"1611",139804348,5.3e+07,"Animation"
"1612",13801755,2e+07,"Comedy"
"1613",1.62e+08,7e+07,"Science Fiction"
"1615",7.4e+07,3.6e+07,"Drama"
"1622",10686841,2e+07,"Comedy"
"1623",177977226,8e+07,"Comedy"
"1624",31611225,3.5e+07,"Comedy"
"1625",225933435,1e+07,"Drama"
"1628",79082515,3.2e+07,"Comedy"
"1631",25105255,3.5e+07,"Crime"
"1632",122417389,3.8e+07,"Comedy"
"1636",172363301,2.4e+07,"Horror"
"1638",3263585,5e+06,"Drama"
"1640",1845034188,2e+08,"Drama"
"1641",333011068,1.1e+08,"Adventure"
"1645",17626234,8e+07,"Drama"
"1646",186883563,6e+07,"Drama"
"1648",39673162,1.2e+07,"Comedy"
"1649",5684789,2.8e+07,"Drama"
"1651",46189568,1.5e+07,"Comedy"
"1654",55494066,2.5e+07,"Comedy"
"1661",64256513,1.5e+07,"Comedy"
"1662",27200316,2.7e+07,"Mystery"
"1665",19870567,7e+07,"Thriller"
"1666",17460020,8e+06,"Comedy"
"1668",302204,3e+06,"Crime"
"1672",1e+08,2.5e+07,"Adventure"
"1673",11203026,4.5e+07,"Adventure"
"1678",19204929,3e+07,"Action"
"1680",91549,1e+06,"Mystery"
"1681",14051384,2.8e+07,"Music"
"1684",123306987,1.8e+07,"Romance"
"1685",13100000,7.5e+07,"Science Fiction"
"1690",314178011,5e+07,"Comedy"
"1691",2554476,1e+06,"Thriller"
"1695",102367405,6e+07,"Thriller"
"1704",7.6e+07,2.7e+07,"Crime"
"1705",67200000,2e+07,"Thriller"
"1714",2057193,1e+06,"Drama"
"1718",46905889,1.5e+07,"Comedy"
"1719",4562146,2.4e+07,"Animation"
"1725",136159423,8e+07,"Adventure"
"1728",13835130,1e+07,"Crime"
"1729",198685114,5.5e+07,"Drama"
"1733",21567853,2.5e+07,"Drama"
"1738",1980338,5e+06,"Comedy"
"1746",45779,1e+07,"Comedy"
"1751",18814720,12716953,"Crime"
"1755",19165560,3.5e+07,"Science Fiction"
"1759",27007143,1.3e+07,"Action"
"1768",140464664,7.5e+07,"Action"
"1770",8026971,1.3e+07,"Comedy"
"1773",38172500,4e+07,"Fantasy"
"1774",379014294,1.3e+08,"Science Fiction"
"1775",29202884,3e+07,"Comedy"
"1776",10680275,18500000,"Adventure"
"1777",5879254,5e+06,"Comedy"
"1784",128038368,6e+07,"Crime"
"1786",1.64e+08,7e+07,"Action"
"1787",25605015,1e+07,"Comedy"
"1792",9e+05,180000,"Drama"
"1799",304320254,9e+07,"Animation"
"1801",189198313,6.6e+07,"Mystery"
"1803",294456605,7.1e+07,"Comedy"
"1804",77745568,4.8e+07,"Romance"
"1808",2375097,1500000,"Romance"
"1809",553799566,1.4e+08,"Action"
"1810",285444603,1.4e+08,"Action"
"1812",54682547,4e+07,"Comedy"
"1813",3221152,60000,"Mystery"
"1815",369884651,2.3e+07,"Romance"
"1818",4358000,379000,"Drama"
"1821",2594000,7e+05,"Drama"
"1822",7630000,1180280,"Drama"
"1823",4460000,1950000,"Adventure"
"1826",7433101,1644736,"Comedy"
"1827",6e+06,1250000,"Drama"
"1828",13500000,1344000,"Drama"
"1830",1.1e+07,1250000,"Drama"
"1831",23650000,2100000,"Drama"
"1832",7800000,2e+06,"Drama"
"1835",3.6e+07,4e+06,"Action"
"1836",30500000,1650000,"War"
"1837",9600000,910000,"Crime"
"1838",3e+06,343000,"Drama"
"1839",43656822,6e+06,"Crime"
"1840",37600000,1e+06,"Adventure"
"1841",28350000,3900000,"Drama"
"1842",27379978,2e+06,"Crime"
"1843",37402877,1e+07,"Drama"
"1844",44785053,3600000,"Drama"
"1845",41158757,1800000,"Action"
"1846",117235147,1e+06,"Drama"
"1847",106260000,8e+06,"Drama"
"1849",58972904,5500000,"Drama"
"1851",128499205,3.1e+07,"Drama"
"1852",43984230,2.3e+07,"Drama"
"1853",412800000,2.5e+07,"Drama"
"1854",145793296,7500000,"Comedy"
"1857",2300000,1500000,"Comedy"
"1859",12729917,2.5e+07,"Adventure"
"1860",51525171,1e+06,"Comedy"
"1861",29999213,3e+06,"Horror"
"1862",44793222,5e+06,"Horror"
"1863",72500000,7e+06,"Horror"
"1864",22168359,8e+06,"Horror"
"1865",34872033,1.1e+07,"Horror"
"1866",59754601,550000,"Horror"
"1867",21722776,1250000,"Horror"
"1868",36690067,4e+06,"Horror"
"1869",32980880,2600000,"Horror"
"1870",21930418,2200000,"Horror"
"1871",19472057,3e+06,"Horror"
"1872",19170001,2800000,"Horror"
"1873",1.4e+07,5e+06,"Horror"
"1874",7e+07,3e+05,"Horror"
"1875",25533818,2500000,"Horror"
"1876",14400000,2500000,"Horror"
"1877",17768757,5e+06,"Horror"
"1878",11642254,5e+06,"Horror"
"1879",14796236,1e+06,"Horror"
"1883",44196684,9e+06,"Horror"
"1884",35763605,1.3e+07,"Drama"
"1885",20560255,1.3e+07,"Thriller"
"1886",122200000,10700000,"Horror"
"1887",40996665,1.9e+07,"Horror"
"1888",14144000,10500000,"Horror"
"1889",441306145,8e+06,"Drama"
"1890",30749142,1.4e+07,"Horror"
"1892",120207127,1.5e+07,"Adventure"
"1893",227853986,2.5e+07,"Action"
"1894",321731527,3.5e+07,"Adventure"
"1895",153083102,1.1e+07,"Fantasy"
"1896",41482207,5e+07,"Comedy"
"1897",61503218,1.9e+07,"Adventure"
"1898",250288523,9.5e+07,"Action"
"1902",650422,92620000,"Drama"
"1903",3.32e+08,4e+07,"Adventure"
